Causas (lista perinatal reducida);Sexo;Nacional;Comunidades y Ciudades Autónomas;Total
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Canarias;6
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Cantabria;6
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Castilla y León;21
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Castilla-La Mancha;13
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Catalu¤a;54
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Comunitat Valenciana;31
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Extremadura;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Galicia;13
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Madrid, Comunidad de;50
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Murcia, Región de;12
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Navarra, Comunidad Foral de;2
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;País Vasco;16
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Rioja, La;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Ceuta;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Total;Melilla;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Ambos sexos;Extranjero;;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;;178
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Andalucía;39
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Aragón;5
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Asturias, Principado de;2
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Balears, Illes;4
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Canarias;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Cantabria;3
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Castilla y León;14
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Castilla-La Mancha;9
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Catalu¤a;37
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Comunitat Valenciana;14
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Extremadura;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Galicia;8
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Madrid, Comunidad de;27
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Murcia, Región de;6
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Navarra, Comunidad Foral de;0
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;País Vasco;7
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Rioja, La;0
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Ceuta;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Total;Melilla;0
01-49 XVI.Afecciones originadas en el periodo perinatal;Hombres;Extranjero;;0
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;;146
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Andalucía;33
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Aragón;2
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Asturias, Principado de;3
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Balears, Illes;7
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Canarias;5
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Cantabria;3
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Castilla y León;7
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Castilla-La Mancha;4
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Catalu¤a;17
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Comunitat Valenciana;17
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Extremadura;0
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Galicia;5
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Madrid, Comunidad de;23
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Murcia, Región de;6
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Navarra, Comunidad Foral de;2
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;País Vasco;9
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Rioja, La;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Ceuta;0
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Total;Melilla;1
01-49 XVI.Afecciones originadas en el periodo perinatal;Mujeres;Extranjero;;1
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;;4
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Andalucía;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Aragón;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Asturias, Principado de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Balears, Illes;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Canarias;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Cantabria;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Castilla y León;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Castilla-La Mancha;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Catalu¤a;2
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Comunitat Valenciana;1
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Extremadura;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Galicia;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Madrid, Comunidad de;1
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Murcia, Región de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Navarra, Comunidad Foral de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;País Vasco;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Rioja, La;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Ceuta;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Total;Melilla;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Ambos sexos;Extranjero;;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;;1
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Andalucía;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Aragón;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Asturias, Principado de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Balears, Illes;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Canarias;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Cantabria;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Castilla y León;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Castilla-La Mancha;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Catalu¤a;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Comunitat Valenciana;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Extremadura;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Galicia;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Madrid, Comunidad de;1
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Murcia, Región de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Navarra, Comunidad Foral de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;País Vasco;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Rioja, La;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Ceuta;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Total;Melilla;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Hombres;Extranjero;;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;;3
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Andalucía;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Aragón;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Asturias, Principado de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Balears, Illes;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Canarias;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Cantabria;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Castilla y León;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Castilla-La Mancha;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Catalu¤a;2
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Comunitat Valenciana;1
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Extremadura;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Galicia;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Madrid, Comunidad de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Murcia, Región de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Navarra, Comunidad Foral de;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;País Vasco;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Rioja, La;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Ceuta;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Total;Melilla;0
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;Mujeres;Extranjero;;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;;21
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Andalucía;4
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Aragón;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Asturias, Principado de;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Balears, Illes;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Canarias;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Cantabria;4
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Castilla y León;4
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Castilla-La Mancha;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Catalu¤a;1
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Comunitat Valenciana;2
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Extremadura;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Galicia;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Madrid, Comunidad de;5
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Murcia, Región de;1
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Navarra, Comunidad Foral de;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;País Vasco;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Rioja, La;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Ceuta;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Total;Melilla;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Ambos sexos;Extranjero;;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;;13
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Andalucía;4
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Aragón;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Asturias, Principado de;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Balears, Illes;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Canarias;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Cantabria;2
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Castilla y León;3
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Castilla-La Mancha;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Catalu¤a;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Comunitat Valenciana;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Extremadura;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Galicia;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Madrid, Comunidad de;3
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Murcia, Región de;1
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Navarra, Comunidad Foral de;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;País Vasco;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Rioja, La;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Ceuta;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Total;Melilla;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Hombres;Extranjero;;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;;8
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Andalucía;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Aragón;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Asturias, Principado de;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Balears, Illes;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Canarias;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Cantabria;2
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Castilla y León;1
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Castilla-La Mancha;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Catalu¤a;1
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Comunitat Valenciana;2
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Extremadura;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Galicia;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Madrid, Comunidad de;2
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Murcia, Región de;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Navarra, Comunidad Foral de;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;País Vasco;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Rioja, La;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Ceuta;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Total;Melilla;0
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;Mujeres;Extranjero;;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;;27
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Andalucía;4
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Aragón;3
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Asturias, Principado de;1
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Balears, Illes;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Canarias;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Cantabria;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Castilla y León;1
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Castilla-La Mancha;1
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Catalu¤a;7
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Comunitat Valenciana;3
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Extremadura;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Galicia;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Madrid, Comunidad de;7
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Murcia, Región de;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Navarra, Comunidad Foral de;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;País Vasco;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Rioja, La;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Ceuta;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Total;Melilla;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Ambos sexos;Extranjero;;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Hombres;Total;;14
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Hombres;Total;Andalucía;1
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Hombres;Total;Aragón;2
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Hombres;Total;Asturias, Principado de;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Hombres;Total;Balears, Illes;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Hombres;Total;Canarias;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Hombres;Total;Cantabria;0
06-10 Feto y recién nacido afectados por complicaciones de la placenta, del cordón umbilical y de las membranas;Hombres;Total;Castilla y León;1
